P,T,TNAME,RSV,ST,F,L,DOC,PLC,P1,P2,P3,P4,P5,PTYP,LOCKED_ABOVE,LOCKED_BELOW,LOCKED_LEFT,LOCKED_RIGHT,S1,S2,LAST_USE
1.1,10140,1.4-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.2,1815,37X1.5-A-52-18,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.3,202,40ER0.8-A-63.2-02,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.4,211,25ER0.8-A-72.5-02,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.5,212,40ER0.8-A-110.5-02,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.6,9025,2.5-AL-45-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.7,10330,3.3-A-36-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.8,10230,2.3-A-30-10,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.9,2,BLUM,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.1,738,8L-A-64-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.11,1860,80X3-A-72-18,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.12,201,25ER0.8-A-62.5-02,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.13,1282,G1_4D-A-65.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.14,710,10S-A-35-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.15,1283,G3_8D-A-65.5-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.16,55,MESSTASTER,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.17,1284,G1_2D-A-88-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.18,708,8S-A-30-07,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
1.19,1208,M8S-A-61-12,,,,,,%00000000,0,0,0,0,0,0,,,,,,,
