T,NAME,L,DOC
1,SCHAFTFRAESER,135.1573,
45,16-A-30-01,100.9753,SCHUNK_204054
110,10-A-55-01,141.1026,Schunk-206343-10
250,WP50R0.1-UNI-50-02,90.0202,HSK A63 SEM22X50C
602,2-A-22-06,114.1961,208105_2_Schunk-206344
604,4-A-22-06,115.0812,208105_4_Schunk-206344
606,6-A-25-06,105.2404,208105_6_Schunk-206341
608,8-A-30-06,110.0594,208105_8_Schunk-206342
612,12-A-35-06,115.9372,208105_12_Schunk-206404
616,16-A-35-06,115.5269,208105_16_Schunk-206405
626,6EXL-A-55-06,141.2285,SCHUNK-206341-D6
716,16S-A-50-07,145.3925,K206147_WTE_16.407.63.16.Z
720,20S-A-60-07,160.3451,K206147_WTE_16.407.63.20.Z
1018,1.8-UNI-30-10,123.0934,SCHUNK_206344_D12\3
1020,2-UNI-32-10,112.1651,SCHUNK_206406
1025,2.5-UNI-35-10,127.6608,SCHUNK_206344_D12-3
1028,2.8-UNI-30-10,122.9709,SCHUNK_206344_D12\3
1030,3-UNI-49-10,142.1173,SCHUNK_206344_D12\3
1033,3.3-UNI-60-10,152.7644,SCHUNK_206344_D12\4
1034,3.4-UNI-60-10,152.7025,SCHUNK_206344_D12\4
1035,3.5-UNI-60-10,153.0754,SCHUNK_206344_D12\4
1038,3.8-UNI-60-10,153.3225,SCHUNK_206344_D12/4
1040,4-UNI-63-10,156.2625,SCHUNK_206344_D12/4
1042,4.2-UNI-65-10,145.5751,SCHUNK_206341_D6
1043,4.3-UNI-65-10,146.0546,SCHUNK_206341_D6
1045,4.5-UNI-65-10,146.1176,SCHUNK_206341_D6
1046,4.6-UNI-45-10,125.6082,SCHUNK_206341-6
1048,4.8-UNI-63-10,143.9025,SCHUNK_206341_D6
1050,5-UNI-65-10,145.9311,SCHUNK_206341_D6
1051,5.1-UNI-65-10,146.2691,SCHUNK_206341_D6
1055,5.5-UNI-66-10,147.2129,SCHUNK_206341_D6
1058,5.8-UNI-66-10,145.0455,SCHUNK_206341_D6
1060,6-UNI-66-10,146.9734,SCHUNK_206341_D6
1066,6.6-UNI-70-10,150.7753,SCHUNK_206342_D8
1068,6.8-UNI-70-10,151.0472,SCHUNK_206342_D8
1069,6.9-UNI-70-10,150.8814,SCHUNK_206342_D8
1070,7.0-UNI-80-10,161.3779,SCHUNK_206342
1076,7.6-1.2312-64-10,144.6143,WTE-16.407.63.08.Z
1078,7.8-UNI-85-10,166.104,SCHUNK_206342_D8
